Zipcode,Page,NewUsed,Year,Make,MSRP,Dealer_Price,Fuel_Type,City_MPG,Highway_MPG,Drivetrain,Liters,V,Mileage,Customer_Review,URL,Make_Tier,Standard_Ext_Color,Standard_Int_Color,Transmission_Type,Gears
7097,1,USED,2011,BMW,,6499.0,Gasoline,18.0,28.0,RWD,3.0,3.0,70493.0,4.8,https://www.cars.com/vehicledetail/detail/802918611/overview/,Tier_2,gray,black,automatic,6
7097,1,USED,2005,Lexus,,4999.0,Gasoline,18.0,25.0,RWD,4.3,4.3,107261.0,4.8,https://www.cars.com/vehicledetail/detail/793884957/overview/,Tier_2,black,OTHER,automatic,6
7097,1,USED,2017,Genesis,,34495.0,Gasoline,17.0,24.0,RWD,3.3,3.3,27818.0,4.7,https://www.cars.com/vehicledetail/detail/802628173/overview/,Tier_3,white,black,automatic,8
7097,1,USED,2018,Buick,,13500.0,Gasoline,25.0,33.0,FWD,1.4,1.4,406.0,4.8,https://www.cars.com/vehicledetail/detail/793325576/overview/,Tier_1,red,NA,automatic,6
7097,1,USED,2006,Land Rover,,5499.0,Gasoline,14.0,19.0,4WD,4.0,4.0,118610.0,4.3,https://www.cars.com/vehicledetail/detail/804066164/overview/,Tier_4,OTHER,brown,automatic,6
7097,1,USED,1994,Mazda,,31999.0,Gasoline,17.0,25.0,,1.3,1.3,70650.0,5.0,https://www.cars.com/vehicledetail/detail/806195119/overview/,Tier_3,black,OTHER,manual,5
7097,1,USED,2016,Nissan,,13499.0,Gasoline,22.0,30.0,FWD,3.5,3.5,44342.0,4.7,https://www.cars.com/vehicledetail/detail/797349415/overview/,Tier_1,OTHER,black,automatic,NA
7097,1,USED,2011,Aston,,59900.0,Gasoline,13.0,19.0,RWD,2.3,2.3,22300.0,5.0,https://www.cars.com/vehicledetail/detail/778818219/overview/,Tier_4,white,red,automatic,NA
7097,1,USED,2008,Jaguar,,9995.0,Gasoline,16.0,25.0,RWD,4.2,4.2,50120.0,5.0,https://www.cars.com/vehicledetail/detail/805410691/overview/,Tier_2,white,NA,automatic,6
7097,1,USED,2001,Ferrari,,57000.0,Gasoline,25.0,31.0,AWD,2.3,2.3,9100.0,4.2,https://www.cars.com/vehicledetail/detail/801456309/overview/,Tier_4,yellow,brown,automatic,NA
7097,1,USED,2020,Nissan,,27900.0,Gasoline,25.0,31.0,RWD,4.0,4.0,33.0,,https://www.cars.com/vehicledetail/detail/806482329/overview/,Tier_1,white,gray,automatic,5
7097,1,USED,2016,Lexus,,44895.0,Gasoline,16.0,24.0,RWD,5.0,5.0,33535.0,4.6,https://www.cars.com/vehicledetail/detail/804302528/overview/,Tier_2,white,red,automatic,8
7097,1,NEW,2020,Nissan,,29450.0,Gasoline,25.0,32.0,AWD,2.0,2.0,6.0,4.7,https://www.cars.com/vehicledetail/detail/805160714/overview/,Tier_1,red,black,automatic,NA
7097,1,USED,2004,Buick,,1500.0,Gasoline,16.0,21.0,AWD,5.3,5.3,207055.0,4.1,https://www.cars.com/vehicledetail/detail/790106405/overview/,Tier_1,black,OTHER,automatic,4
7097,1,USED,2002,Chevrolet,,3995.0,Gasoline,17.0,22.0,RWD,4.3,4.3,179436.0,4.0,https://www.cars.com/vehicledetail/detail/800413592/overview/,Tier_1,white,gray,automatic,4
7097,1,USED,2015,BMW,,59950.0,Hybrid,25.0,31.0,AWD,1.5,1.5,21609.0,4.2,https://www.cars.com/vehicledetail/detail/786903933/overview/,Tier_2,gray,NA,automatic,6
7097,1,USED,2016,Mercedes-Benz,,99000.0,Gasoline,13.0,20.0,RWD,2.3,2.3,27900.0,,https://www.cars.com/vehicledetail/detail/791614831/overview/,Tier_2,gray,black,automatic,NA
7097,1,USED,1998,Pontiac,,9500.0,Gasoline,25.0,31.0,RWD,2.3,2.3,65000.0,4.3,https://www.cars.com/vehicledetail/detail/805200521/overview/,Tier_3,blue,gray,automatic,NA
7097,1,USED,2019,Mitsubishi,,13295.0,Gasoline,23.0,29.0,4WD,2.0,2.0,27107.0,4.8,https://www.cars.com/vehicledetail/detail/801572911/overview/,Tier_2,gray,black,automatic,NA
7097,1,USED,2006,Dodge,,5495.0,Gasoline,18.0,24.0,AWD,3.5,3.5,96180.0,4.6,https://www.cars.com/vehicledetail/detail/797277449/overview/,Tier_1,black,gray,automatic,5
7097,1,USED,2015,Volvo,,12924.0,Gasoline,25.0,37.0,FWD,2.0,2.0,70876.0,5.0,https://www.cars.com/vehicledetail/detail/781674468/overview/,Tier_2,black,black,automatic,8
7097,1,USED,2013,Nissan,,3999.0,Gasoline,30.0,39.0,FWD,1.8,1.8,64547.0,3.8,https://www.cars.com/vehicledetail/detail/802562482/overview/,Tier_1,black,black,automatic,NA
7097,1,USED,2019,Lamborghini,,225500.0,Gasoline,12.0,17.0,AWD,4.0,4.0,3195.0,5.0,https://www.cars.com/vehicledetail/detail/805067601/overview/,Tier_3,metallic,OTHER,automatic,8
7097,1,USED,2019,Mercedes-Benz,,25900.0,Gasoline,17.0,22.0,AWD,3.0,3.0,3847.0,5.0,https://www.cars.com/vehicledetail/detail/807925087/overview/,Tier_2,OTHER,NA,automatic,9
7097,1,USED,2009,Nissan,,4995.0,Gasoline,19.0,26.0,FWD,3.5,3.5,87491.0,4.6,https://www.cars.com/vehicledetail/detail/793412019/overview/,Tier_1,black,black,automatic,NA
7097,1,USED,2011,Jaguar,,14995.0,Gasoline,16.0,23.0,RWD,5.0,5.0,69684.0,4.8,https://www.cars.com/vehicledetail/detail/803039593/overview/,Tier_2,black,OTHER,automatic,6
7097,1,USED,2019,Mercedes-Benz,,58800.0,Gasoline,16.0,22.0,AWD,4.0,4.0,6454.0,3.0,https://www.cars.com/vehicledetail/detail/802916851/overview/,Tier_2,black,red,automatic,9
7097,1,USED,2018,Toyota,,16888.0,Gasoline,27.0,31.0,FWD,2.0,2.0,36624.0,4.7,https://www.cars.com/vehicledetail/detail/805051540/overview/,Tier_1,black,black,automatic,NA
7097,1,USED,2019,Mercedes-Benz,,27900.0,Gasoline,24.0,35.0,FWD,2.0,2.0,7009.0,4.4,https://www.cars.com/vehicledetail/detail/804486130/overview/,Tier_2,black,black,automatic,7
7097,1,USED,2019,Dodge,,18900.0,E85 Flex Fuel,17.0,25.0,FWD,3.6,3.6,64.0,4.7,https://www.cars.com/vehicledetail/detail/807127723/overview/,Tier_1,blue,gray,automatic,NA
7097,1,USED,2013,Volkswagen,,6895.0,Gasoline,22.0,31.0,FWD,2.0,2.0,76290.0,4.6,https://www.cars.com/vehicledetail/detail/798063692/overview/,Tier_2,brown,brown,automatic,6
7097,1,NEW,2019,Mitsubishi,,38420.0,Hybrid,25.0,31.0,4WD,2.0,2.0,16.0,4.6,https://www.cars.com/vehicledetail/detail/781777342/overview/,Tier_2,white,black,automatic,1
