Zipcode,NewUsed,Year,Make,Dealer_Price,Fuel_Type,City_MPG,Highway_MPG,Drivetrain,Liters,V,Mileage,Customer_Review,Make_Tier,Standard_Ext_Color,Standard_Int_Color,Transmission_Type,Gears
5,1,2020,31,38632.0,1,19.0,24.0,1,3.8,3.8,3922.0,4.5,1,9,2,1,8.0
5,0,2020,5,19790.0,1,26.0,31.0,0,1.4,1.4,10.0,4.6,1,7,2,1,6.0
5,1,2013,10,259000.0,1,11.0,18.0,1,6.5,6.5,7242.0,5.0,3,2,1,1,7.0
5,0,2020,5,21749.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,0,2,1,6.0
5,1,2012,29,11995.0,1,25.0,31.0,1,3.0,3.0,122421.0,4.5,2,4,2,1,8.0
5,0,2020,5,21749.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,4,2,1,6.0
5,0,2019,13,37995.0,3,25.0,31.0,2,2.0,2.0,15.0,4.6,2,4,2,1,1.0
5,0,2019,13,38420.0,3,25.0,31.0,2,2.0,2.0,11.0,4.6,2,9,2,1,1.0
5,0,2020,5,19790.0,1,26.0,31.0,0,1.4,1.4,2.0,4.6,1,4,2,1,6.0
5,0,2019,13,38420.0,3,25.0,31.0,2,2.0,2.0,12.0,4.6,2,9,2,1,1.0
5,1,2016,35,129895.0,1,25.0,31.0,3,3.8,3.8,17936.0,5.0,4,10,2,1,7.0
5,0,2020,5,21749.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,4,2,1,6.0
5,1,2016,16,115000.0,0,12.0,20.0,1,6.0,6.0,20578.0,4.0,3,9,2,1,8.0
5,0,2020,5,21749.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,4,2,1,6.0
5,1,2012,21,9885.0,1,22.0,30.0,0,2.0,2.0,80518.0,4.6,2,6,8,1,6.0
5,1,2007,40,9895.0,1,19.0,26.0,3,3.5,3.5,75918.0,4.7,2,9,3,0,6.0
5,0,2020,5,19595.0,1,26.0,31.0,0,1.4,1.4,2.0,4.6,1,9,2,1,6.0
5,1,2011,33,11500.0,1,18.0,27.0,0,3.5,3.5,75668.0,4.7,1,9,1,1,5.0
5,0,2020,5,22766.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,6,2,1,6.0
5,1,2008,43,7495.0,1,15.0,23.0,0,4.6,4.6,73099.0,4.6,1,11,8,1,4.0
5,0,2020,5,21749.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,7,2,1,6.0
5,0,2019,13,38420.0,3,25.0,31.0,2,2.0,2.0,15.0,4.6,2,9,2,1,1.0
5,0,2020,5,20056.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,4,2,1,6.0
5,1,2014,4,12895.0,1,16.0,26.0,1,3.0,3.0,79187.0,4.6,2,4,2,1,8.0
5,1,2008,1,2795.0,1,25.0,31.0,0,2.4,2.4,84109.0,3.8,2,8,0,1,4.0
5,1,2016,43,31995.0,1,18.0,26.0,1,3.0,3.0,23301.0,4.6,1,0,2,1,8.0
5,1,2007,29,8938.0,1,18.0,25.0,1,4.2,4.2,78207.0,4.9,2,8,2,1,6.0
5,1,2009,24,39990.0,1,12.0,19.0,3,4.7,4.7,29100.0,5.0,4,4,2,1,6.0
5,0,2020,5,21749.0,1,26.0,31.0,1,1.4,1.4,0.0,4.6,1,4,2,1,6.0
5,1,2005,39,3995.0,1,20.0,30.0,0,3.8,3.8,77406.0,4.5,3,7,2,1,4.0
5,1,2015,14,5999.0,1,22.0,35.0,0,2.4,2.4,54412.0,4.3,1,0,2,1,6.0
5,1,2005,0,3995.0,1,25.0,31.0,1,1.8,1.8,123967.0,4.5,1,8,0,1,4.0
5,1,2014,37,8900.0,1,22.0,33.0,0,2.0,2.0,59830.0,4.7,1,0,2,1,6.0
5,0,2019,13,38420.0,3,25.0,31.0,2,2.0,2.0,13.0,4.6,2,9,2,1,1.0
5,1,2019,21,37888.0,1,17.0,23.0,1,3.6,3.6,9423.0,4.3,2,7,2,1,8.0
5,1,2018,9,39800.0,1,18.0,24.0,1,3.0,3.0,14841.0,5.0,2,4,2,1,9.0
5,1,2019,3,8990.0,1,28.0,37.0,0,1.6,1.6,4044.0,4.4,1,6,2,1,6.0
5,1,2008,0,5995.0,1,18.0,26.0,0,3.3,3.3,112996.0,4.9,1,8,0,1,5.0
